370913.7305	193134.3939
370858.3696	193129.975
370858.0932	193129.9433
370857.7985	193129.8876
370857.5088	193129.81
370857.2257	193129.7109
370856.9508	193129.5908
370856.6857	193129.4506
370856.4319	193129.2908
370856.1907	193129.1125
370855.9636	193128.9166
370855.7518	193128.7042
370855.5565	193128.4767
370855.3788	193128.235
370855.2198	193127.9807
370855.0802	193127.7152
370854.9609	193127.4401
370854.8625	193127.1567
370854.7857	193126.8668
370854.7308	193126.572
370854.6982	193126.2738
370854.6879	193125.974
370855.9733	193109.725
370855.9739	193109.7171
370856.0077	193109.4192
370856.0637	193109.1245
370856.1417	193108.8349
370856.2411	193108.5519
370856.3615	193108.2772
370856.5021	193108.0122
370856.6622	193107.7586
370856.8408	193107.5177
370857.037	193107.2908
370857.2496	193107.0793
370857.4775	193106.8842
370857.7193	193106.7069
370857.9738	193106.5481
370858.2394	193106.4088
370858.5147	193106.2899
370858.7982	193106.1919
370859.0882	193106.1154
370859.3832	193106.0609
370859.6813	193106.0286
370859.9811	193106.0187
370860.2807	193106.0313
370915.918	193110.4819
370916.2127	193110.5376
370916.5024	193110.6153
370916.7856	193110.7144
370917.0604	193110.8344
370917.3255	193110.9747
370917.5794	193111.1345
370917.8205	193111.3128
370918.0476	193111.5086
370918.2594	193111.721
370918.4547	193111.9487
370918.6324	193112.1903
370918.7915	193112.4446
370918.9311	193112.7101
370919.0503	193112.9852
370919.1487	193113.2685
370919.2255	193113.5584
370919.2805	193113.8533
370919.3131	193114.1515
370919.3233	193114.4512
370919.311	193114.7509
370919.3105	193114.7589
370918.1945	193128.6137
370918.1384	193128.9084
370918.0605	193129.198
370917.9611	193129.4809
370917.8407	193129.7557
370917.7001	193130.0206
370917.54	193130.2742
370917.3614	193130.5151
370917.1652	193130.7421
370916.9526	193130.9536
370916.7247	193131.1486
370916.4828	193131.326
370916.2285	193131.4847
370915.9628	193131.624
370915.6874	193131.743
370915.404	193131.841
370915.114	193131.9175
370914.8191	193131.972
370914.5208	193132.0043
370914.2211	193132.0142
370913.9214	193132.0015
370858.5606	193127.5826
370858.2841	193127.5509
370857.9894	193127.4952
370857.6997	193127.4176
370857.4167	193127.3185
370857.1418	193127.1985
370856.8767	193127.0582
370856.6229	193126.8984
370856.3816	193126.7201
370856.1546	193126.5242
370855.9427	193126.3118
370855.7475	193126.0843
370855.5698	193125.8426
370855.4107	193125.5883
370855.2712	193125.3228
370855.1518	193125.0477
370855.0534	193124.7643
370854.9766	193124.4744
370854.9218	193124.1796
370854.8891	193123.8814
370854.8788	193123.5816
370856.1642	193107.3326
370856.1649	193107.3248
370856.1987	193107.0268
370856.2547	193106.7321
370856.3326	193106.4425
370856.4321	193106.1595
370856.5525	193105.8848
370856.693	193105.6198
370856.8531	193105.3662
370857.0317	193105.1253
370857.2279	193104.8984
370857.4406	193104.6869
370857.6684	193104.4918
