370913.5566	193134.2696	183.495038	0.137	1	50	-0.062317
370913.5567	193134.2704	183.412741	0.709	1	-244	-0.068304
370913.5308	193134.269	183.489593	0.419	1	134	-0.057996
370913.4897	193134.2618	183.471837	0.466	1	-50	-0.050541
370912.6239	193134.2291	183.468076	0.507	1	-50	-0.03955
370912.4024	193134.2249	183.404609	0.453	1	-171	-0.027909
370912.1323	193134.2066	183.466318	0.475	1	-96	-0.022241
370911.8834	193134.1905	183.614469	0.48	1	-50	-0.019142
370911.625	193134.1744	183.79523	0.473	1	70	-0.015087
370911.3797	193134.1584	183.967605	0.489	1	0	-0.011164
370911.1467	193134.1417	184.145786	0.47	1	-72	-0.007058
370910.9037	193134.1264	184.249121	0.467	1	-50	-0.002487
370910.673	193134.1118	184.306496	0.475	1	-120	0.004656
370910.4315	193134.0958	184.376667	0.477	1	-100	0.007951
370910.1895	193134.0786	184.428732	0.49	1	-146	0.013667
370909.9563	193134.0624	184.461819	0.479	1	-91	0.017562
370909.7189	193134.0485	184.461455	0.478	1	-140	0.023516
370909.4868	193134.0334	184.531919	0.481	1	-65	0.025516
370909.2439	193134.0185	184.630849	0.484	1	-50	0.02792
370909.0074	193134.0027	184.73158	0.493	1	86	0.028879
370908.7672	193133.985	184.817064	0.474	1	63	0.02984
370908.5298	193133.9673	184.895049	0.471	1	94	0.031417
370908.2864	193133.9488	184.959989	0.476	1	163	0.031186
370908.0497	193133.9292	185.005227	0.485	1	140	0.032466
370907.8082	193133.9096	185.070875	0.466	1	128	0.034357
370907.5706	193133.889	185.088528	0.473	1	100	0.035768
370907.325	193133.8679	185.088309	0.476	1	75	0.035378
370907.086	193133.8478	185.093975	0.487	1	84	0.035353
370906.8418	193133.8269	185.124756	0.487	1	82	0.036512
370906.6033	193133.8066	185.140191	0.491	1	130	0.037763
370906.3635	193133.7868	185.175006	0.48	1	104	0.039659
370906.1229	193133.7653	185.205709	0.498	1	178	0.039514
370905.8802	193133.7455	185.21674	0.488	1	202	0.041483
370905.6385	193133.726	185.259724	0.486	1	128	0.046567
370905.387	193133.7063	185.323286	0.473	1	163	0.046373
370905.1431	193133.6881	185.362107	0.484	1	155	0.046756
370904.8952	193133.6682	185.429308	0.475	1	168	0.046131
370904.6534	193133.6482	185.475544	0.463	1	121	0.045483
370904.4101	193133.6291	185.485039	0.473	1	50	0.044326
370904.1627	193133.6084	185.497771	0.481	1	-50	0.041398
370903.9227	193133.5874	185.523278	0.481	1	50	0.041018
370903.6798	193133.5678	185.53586	0.492	1	50	0.041547
370903.4327	193133.5445	185.547777	0.49	1	57	0.041685
370903.1965	193133.5216	185.53474	0.482	1	50	0.04187
370902.943	193133.5015	185.481554	0.48	1	-50	0.046286
370902.6973	193133.4808	185.432926	0.46	1	-83	0.048722
370902.4476	193133.4607	185.404602	0.48	1	-74	0.052776
370902.205	193133.4395	185.439639	0.489	1	-162	0.053075
370901.961	193133.42	185.480153	0.486	1	-129	0.054177
370901.7117	193133.3983	185.524562	0.474	1	-120	0.052195
370901.4601	193133.3776	185.557595	0.494	1	-105	0.050618
370901.211	193133.3553	185.587938	0.497	1	-169	0.04846
370900.9678	193133.3339	185.606272	0.487	1	-145	0.048261
370900.711	193133.3126	185.564854	0.491	1	-147	0.053516
370900.4691	193133.2942	185.531308	0.503	1	-90	0.054338
370900.219	193133.2753	185.492553	0.488	1	-141	0.059979
370899.9801	193133.2562	185.469862	0.485	1	-59	0.064108
370899.7308	193133.2358	185.494479	0.483	1	-92	0.061942
370899.4806	193133.2187	185.532085	0.485	1	-57	0.063666
370899.2359	193133.1999	185.563613	0.473	1	-50	0.063264
370898.9921	193133.1804	185.581549	0.479	1	-113	0.062786
370898.7454	193133.1618	185.606544	0.472	1	-53	0.058931
370898.5073	193133.1429	185.628052	0.475	1	-50	0.057217
370898.2668	193133.1219	185.664809	0.484	1	50	0.054671
370898.0244	193133.1014	185.660302	0.493	1	-50	0.054296
370897.7873	193133.0809	185.659885	0.494	1	50	0.058909
370897.5434	193133.0614	185.619981	0.487	1	50	0.059185
370897.3048	193133.042	185.585589	0.484	1	54	0.062017
370897.0615	193133.0228	185.555254	0.48	1	50	0.062761
370896.8177	193133.0027	185.57877	0.48	1	127	0.060205
370896.5804	193132.9823	185.610243	0.49	1	129	0.061617
370896.3454	193132.9642	185.629863	0.478	1	137	0.062623
370896.1064	193132.9451	185.677046	0.481	1	84	0.062491
370895.8686	193132.9246	185.694652	0.48	1	87	0.059761
370895.627	193132.9053	185.704128	0.452	1	50	0.058615
370895.3852	193132.8859	185.702928	0.488	1	68	0.05822
370895.1477	193132.8676	185.707554	0.488	1	110	0.057681
370894.8965	193132.8471	185.733907	0.487	1	106	0.055912
370894.6566	193132.8282	185.70578	0.489	1	98	0.057783
370894.4134	193132.8102	185.658108	0.488	1	102	0.058963
370894.1772	193132.7916	185.652321	0.484	1	107	0.059285
370893.9332	193132.7724	185.635435	0.482	1	56	0.059123
370893.694	193132.7533	185.67625	0.476	1	88	0.056957
370893.4513	193132.7348	185.685664	0.46	1	50	0.056281
370893.2132	193132.7143	185.701355	0.463	1	-50	0.054345
370892.9615	193132.6937	185.702179	0.469	1	50	0.054206
370892.7276	193132.6743	185.697149	0.481	1	-51	0.054233
370892.4968	193132.6549	185.698535	0.473	1	-69	0.051471
370892.2647	193132.6353	185.675531	0.473	1	-62	0.053156
370892.0368	193132.6173	185.650656	0.467	1	-50	0.05561
370891.808	193132.5989	185.614889	0.472	1	-51	0.059482
370891.5792	193132.5814	185.579398	0.487	1	-69	0.060439
370891.3488	193132.5644	185.573761	0.49	1	-50	0.063127
370891.12	193132.5471	185.605704	0.49	1	-114	0.061449
370890.8976	193132.5303	185.646476	0.502	1	-80	0.060557
370890.671	193132.5136	185.686863	0.493	1	-87	0.061492
370890.4463	193132.4952	185.757147	0.477	1	-72	0.058333
370890.2194	193132.4758	185.74964	0.477	1	-217	0.06143
370889.9925	193132.4585	185.69344	0.471	1	-177	0.059358
370889.7672	193132.4408	185.6614	0.487	1	-191	0.06151
370889.5458	193132.4249	185.61314	0.497	1	-145	0.062619
370889.3132	193132.4076	185.615091	0.483	1	-92	0.062351
370889.0939	193132.3912	185.608425	0.493	1	-80	0.062733
370888.8687	193132.3736	185.608136	0.489	1	-50	0.063399
370888.6375	193132.3564	185.607695	0.482	1	-50	0.060924
370888.4099	193132.3384	185.636799	0.485	1	-50	0.061535
370888.1838	193132.3179	185.66798	0.464	1	50	0.059691
370887.9518	193132.2961	185.698219	0.466	1	-74	0.060236
370887.7259	193132.2755	185.715361	0.478	1	-50	0.059541
370887.4822	193132.2609	185.679191	0.479	1	-50	0.060047
370887.0468	193132.2705	185.642081	0.47	1	61	0.060036
370886.756	193132.2562	185.617338	0.493	1	57	0.060954
370886.5361	193132.2391	185.64591	0.509	1	98	0.061245
370886.31	193132.2203	185.677505	0.495	1	133	0.062095
370886.0828	193132.2003	185.681527	0.466	1	141	0.063415
370885.8602	193132.1804	185.711655	0.478	1	162	0.062459
370885.6349	193132.1621	185.769885	0.486	1	205	0.061487
370885.414	193132.1414	185.804463	0.476	1	190	0.057635
370885.1895	193132.1209	185.787504	0.489	1	142	0.059527
370884.9595	193132.1003	185.736863	0.472	1	50	0.062159
370884.7366	193132.0814	185.712391	0.461	1	50	0.062132
370884.511	193132.0628	185.671467	0.46	1	-50	0.06304
370884.2861	193132.0439	185.645286	0.466	1	50	0.064556
370884.0639	193132.0255	185.630644	0.473	1	50	0.064937
370883.8403	193132.0083	185.636633	0.485	1	62	0.065265
370883.6098	193131.9868	185.66061	0.487	1	128	0.062204
370883.39	193131.9681	185.691639	0.486	1	164	0.062634
370883.1533	193131.948	185.746381	0.489	1	112	0.06237
370882.6753	193131.9339	185.775177	0.482	1	72	0.060644
370882.4075	193131.9144	185.822181	0.479	1	59	0.059378
370882.1779	193131.8937	185.839876	0.47	1	68	0.060164
370881.9549	193131.8709	185.852902	0.469	1	-50	0.058649
370881.7301	193131.8496	185.838093	0.482	1	-52	0.059947
370881.5098	193131.8286	185.820684	0.475	1	-88	0.058051
370881.2815	193131.8089	185.781263	0.488	1	-156	0.061137
370881.0562	193131.7887	185.761547	0.49	1	-187	0.061061
370880.8245	193131.7705	185.722889	0.493	1	-144	0.067872
370880.601	193131.7529	185.703455	0.477	1	-127	0.063275
370880.3721	193131.7319	185.69169	0.489	1	-71	0.066318
370880.1445	193131.7121	185.712073	0.488	1	-121	0.065886
370879.9159	193131.6927	185.739056	0.489	1	-151	0.067503
370879.6798	193131.6732	185.742678	0.497	1	-118	0.067575
370879.4462	193131.6547	185.734176	0.476	1	-134	0.068679
370879.2115	193131.634	185.756857	0.462	1	-131	0.068061
370878.9778	193131.6133	185.763252	0.463	1	-156	0.068283
370878.7408	193131.5914	185.781398	0.481	1	-130	0.064989
370878.5037	193131.5687	185.801771	0.493	1	-83	0.06356
370878.2556	193131.5469	185.779932	0.485	1	-86	0.064985
370878.0231	193131.5261	185.743667	0.48	1	-76	0.066013
370877.7721	193131.504	185.721632	0.491	1	-50	0.065521
370877.5162	193131.4835	185.710032	0.484	1	50	0.065666
370877.2354	193131.4677	185.726922	0.487	1	96	0.066544
370876.9623	193131.4514	185.742941	0.484	1	99	0.066881
370876.7009	193131.4337	185.761148	0.502	1	73	0.067832
370876.4454	193131.4146	185.786785	0.467	1	69	0.069488
370876.2002	193131.3947	185.779178	0.468	1	62	0.070311
370875.9526	193131.3752	185.78555	0.466	1	63	0.068695
370875.6993	193131.3533	185.79639	0.479	1	50	0.069494
370875.4588	193131.3321	185.79022	0.489	1	67	0.068366
370875.2108	193131.3107	185.784399	0.516	1	118	0.071745
370874.9683	193131.2915	185.809641	0.485	1	177	0.071716
370874.7242	193131.2747	185.816475	0.473	1	143	0.072849
370874.476	193131.2547	185.843823	0.481	1	92	0.072546
370874.2298	193131.2324	185.885412	0.461	1	147	0.069593
370873.983	193131.211	185.906135	0.466	1	169	0.06995
370873.737	193131.1912	185.94059	0.471	1	86	0.070869
370873.4862	193131.1648	185.971136	0.464	1	172	0.067723
370873.2412	193131.1454	185.932915	0.479	1	126	0.068579
370872.9935	193131.12	185.910069	0.485	1	50	0.068789
370872.7443	193131.0951	185.87705	0.481	1	-66	0.066814
370872.5069	193131.0769	185.836068	0.49	1	-76	0.067201
370872.2468	193131.0555	185.795621	0.49	1	50	0.067657
370872.0026	193131.0342	185.798619	0.483	1	50	0.068556
370871.7607	193131.013	185.809075	0.472	1	50	0.068939
370871.5129	193130.9914	185.824601	0.474	1	50	0.070251
370871.2615	193130.9699	185.878348	0.482	1	50	0.069391
370871.0165	193130.9494	185.91243	0.478	1	50	0.069436
370870.7688	193130.9307	185.937179	0.469	1	-106	0.071696
370870.5162	193130.9108	185.931369	0.466	1	-124	0.073534
370870.2598	193130.8915	185.912356	0.468	1	-136	0.073123
370870.0145	193130.8718	185.929369	0.469	1	-155	0.07214
370869.7656	193130.8521	185.940859	0.483	1	-169	0.071876
370869.5105	193130.8309	185.93056	0.497	1	-195	0.072328
370869.2557	193130.8114	185.927089	0.493	1	-122	0.072472
370869.0057	193130.7912	185.950826	0.477	1	-97	0.071824
370868.7429	193130.768	185.956985	0.485	1	-50	0.071256
370868.487	193130.7462	185.968048	0.479	1	-50	0.071086
370868.2348	193130.7245	185.959828	0.477	1	-102	0.072904
370867.9801	193130.701	185.935267	0.477	1	-85	0.071795
370867.7217	193130.6791	185.891828	0.479	1	-112	0.072934
370867.4617	193130.6574	185.866906	0.48	1	-127	0.07571
370867.2028	193130.6356	185.84211	0.481	1	-145	0.076689
370866.9417	193130.6132	185.817471	0.473	1	-121	0.07659
370866.6949	193130.5921	185.820821	0.485	1	-98	0.077535
370866.439	193130.5728	185.835308	0.48	1	-50	0.078104
370866.176	193130.5515	185.874708	0.49	1	84	0.0787
370865.9973	193130.5615	185.928922	0.483	1	120	0.07885
370865.9247	193130.6061	185.972381	0.494	1	167	0.076334
370865.6868	193130.5848	186.012601	0.492	1	104	0.075328
370865.4212	193130.5615	186.028249	0.493	1	102	0.076369
370865.162	193130.5387	186.032205	0.473	1	112	0.075979
